feature,importance
num__Fare,0.21060865564721315
cat__Sex_male,0.20593079503927225
num__Age,0.16940404655087932
cat__Sex_female,0.16471587974972976
num__Pclass,0.10404811056274775
num__FamilySize,0.05099531718512782
num__SibSp,0.025166823936610818
num__Parch,0.019333446999560012
cat__Embarked_S,0.01659125924678109
num__IsAlone,0.01218278568974148
cat__Embarked_C,0.012136396433721428
cat__Embarked_Q,0.008886482958615206
